prefecture,municipality,status,priority
東京都,港区,TO_COLLECT,A
東京都,文京区,TO_COLLECT,A
東京都,台東区,TO_COLLECT,A
東京都,墨田区,TO_COLLECT,A
東京都,世田谷区,TO_COLLECT,A
東京都,渋谷区,TO_COLLECT,A
東京都,中野区,TO_COLLECT,A
東京都,杉並区,TO_COLLECT,A
東京都,豊島区,TO_COLLECT,A
東京都,北区,TO_COLLECT,A
東京都,荒川区,TO_COLLECT,A
東京都,練馬区,TO_COLLECT,A
東京都,足立区,TO_COLLECT,A
東京都,葛飾区,TO_COLLECT,A
東京都,八王子市,TO_COLLECT,A
東京都,立川市,TO_COLLECT,A
東京都,武蔵野市,TO_COLLECT,A
東京都,三鷹市,TO_COLLECT,A
東京都,青梅市,TO_COLLECT,A
東京都,府中市,TO_COLLECT,A
東京都,昭島市,TO_COLLECT,A
東京都,調布市,TO_COLLECT,A
東京都,町田市,TO_COLLECT,A
東京都,小金井市,TO_COLLECT,A
東京都,小平市,TO_COLLECT,A
東京都,日野市,TO_COLLECT,A
東京都,東村山市,TO_COLLECT,A
東京都,国分寺市,TO_COLLECT,A
東京都,国立市,TO_COLLECT,A
東京都,福生市,TO_COLLECT,A
東京都,狛江市,TO_COLLECT,A
東京都,東大和市,TO_COLLECT,A
東京都,清瀬市,TO_COLLECT,A
東京都,東久留米市,TO_COLLECT,A
東京都,武蔵村山市,TO_COLLECT,A
東京都,多摩市,TO_COLLECT,A
東京都,稲城市,TO_COLLECT,A
東京都,羽村市,TO_COLLECT,A
東京都,あきる野市,TO_COLLECT,A
東京都,西東京市,TO_COLLECT,A
神奈川県,南足柄市,TO_COLLECT,A
神奈川県,綾瀬市,TO_COLLECT,A
千葉県,銚子市,TO_COLLECT,A
千葉県,館山市,TO_COLLECT,A
千葉県,木更津市,TO_COLLECT,A
千葉県,茂原市,TO_COLLECT,A
千葉県,成田市,TO_COLLECT,A
千葉県,東金市,TO_COLLECT,A
千葉県,旭市,TO_COLLECT,A
千葉県,勝浦市,TO_COLLECT,A
千葉県,我孫子市,TO_COLLECT,A
千葉県,鴨川市,TO_COLLECT,A
千葉県,鎌ケ谷市,TO_COLLECT,A
千葉県,君津市,TO_COLLECT,A
千葉県,富津市,TO_COLLECT,A
千葉県,浦安市,TO_COLLECT,A
千葉県,四街道市,TO_COLLECT,A
千葉県,袖ケ浦市,TO_COLLECT,A
千葉県,八街市,TO_COLLECT,A
千葉県,印西市,TO_COLLECT,A
千葉県,白井市,TO_COLLECT,A
千葉県,富里市,TO_COLLECT,A
千葉県,南房総市,TO_COLLECT,A
千葉県,匝瑳市,TO_COLLECT,A
千葉県,香取市,TO_COLLECT,A
千葉県,山武市,TO_COLLECT,A
千葉県,いすみ市,TO_COLLECT,A
千葉県,大網白里市,TO_COLLECT,A
埼玉県,行田市,TO_COLLECT,A
埼玉県,秩父市,TO_COLLECT,A
埼玉県,飯能市,TO_COLLECT,A
埼玉県,加須市,TO_COLLECT,A
埼玉県,本庄市,TO_COLLECT,A
埼玉県,東松山市,TO_COLLECT,A
埼玉県,狭山市,TO_COLLECT,A
埼玉県,羽生市,TO_COLLECT,A
埼玉県,鴻巣市,TO_COLLECT,A
埼玉県,深谷市,TO_COLLECT,A
埼玉県,入間市,TO_COLLECT,A
埼玉県,志木市,TO_COLLECT,A
埼玉県,桶川市,TO_COLLECT,A
埼玉県,北本市,TO_COLLECT,A
埼玉県,富士見市,TO_COLLECT,A
埼玉県,三郷市,TO_COLLECT,A
埼玉県,蓮田市,TO_COLLECT,A
埼玉県,坂戸市,TO_COLLECT,A
埼玉県,幸手市,TO_COLLECT,A
埼玉県,鶴ヶ島市,TO_COLLECT,A
埼玉県,日高市,TO_COLLECT,A
埼玉県,吉川市,TO_COLLECT,A
埼玉県,ふじみ野市,TO_COLLECT,A
埼玉県,白岡市,TO_COLLECT,A
