prefecture,city,one_room_applies,one_room_conditions,one_room_url,neighbor_notice_required,neighbor_notice_procedure,neighbor_url,development_guideline,parking_standard,bicycle_standard,garbage_required,development_url,data_source,verification_status,checked_date,notes
神奈川県,横浜市,なし（令和3年4月1日廃止）,廃止済み,https://www.city.yokohama.lg.jp/business/bunyabetsu/kenchiku/annai/202101221300.html,あり,,https://www.city.yokohama.lg.jp/business/bunyabetsu/kenchiku/tetsuduki/jorei/kijunjourei/kijunjourei.html,あり,条例あり,条例あり（附置義務）,あり,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kotsu/bycycle/huchi/huchi.html,横浜市公式サイト・条例確認,VERIFIED,2025-12-23,ワンルーム指導基準は令和3年4月1日廃止
神奈川県,平塚市,,,,,,,,,,,,,TO_COLLECT,,
神奈川県,小田原市,,,,,,,,,,,,,TO_COLLECT,,
神奈川県,三浦市,,,,,,,,,,,,,TO_COLLECT,,
神奈川県,秦野市,,,,,,,,,,,,,TO_COLLECT,,
神奈川県,厚木市,,,,,,,,,,,,,TO_COLLECT,,
神奈川県,伊勢原市,,,,,,,,,,,,,TO_COLLECT,,
神奈川県,海老名市,,,,,,,,,,,,,TO_COLLECT,,
神奈川県,座間市,,,,,,,,,,,,,TO_COLLECT,,
千葉県,習志野市,あり,住戸面積16㎡以上,https://www.city.narashino.lg.jp/soshiki/kenchikushido/faq/kentiku22.html,あり,高さ10m超の建築物,https://www.city.narashino.lg.jp/soshiki/kenchikushido/gyomu/machidukuri/kenchiku/tetsuduki/340420140303163553776.html,あり,要確認,要確認,あり,https://www.city.narashino.lg.jp/material/files/group/48/gijutsukijun.pdf,習志野市公式サイト・条例確認,VERIFIED,2025-12-23,特定建築行為条例に統合（H25.5.1施行）
千葉県,流山市,あり,専ら単身者用住戸,https://www.city.nagareyama.chiba.jp/business/1006720/1006847/1006857.html,あり,中高層・ワンルーム・特定用途は事前協議,https://www.city.nagareyama.chiba.jp/_res/projects/default_project/_page_/001/006/857/jizenkyougigaiyou2.pdf,あり,条例基準あり,条例基準あり,あり,https://www.city.nagareyama.chiba.jp/_res/projects/default_project/_page_/001/002/270/r7seibikijun.pdf,流山市公式サイト・条例/要綱確認,VERIFIED,2025-12-23,開発事業許可基準等条例で一体管理
千葉県,八千代市,,,,,,,,,,,,,TO_COLLECT,,
千葉県,市原市,,,,,,,,,,,,,TO_COLLECT,,
千葉県,佐倉市,,,,,,,,,,,,,TO_COLLECT,,
埼玉県,川越市,あり,25㎡以下・7戸以上,https://www.city.kawagoe.saitama.jp/shisei/toshikei/1010554/1010750/1010793/1010803.html,あり,標識設置・事前協議,https://www.city.kawagoe.saitama.jp/shisei/toshikei/1010554/1010750/1010793/1010803.html,あり,附置義務条例あり,要設置,あり,https://www.city.kawagoe.saitama.jp/shisei/toshikei/1010554/1010750/1010793/1010804.html,川越市公式サイト・条例/要綱確認,VERIFIED,2025-12-23,小規模住戸形式集合住宅指導要綱
埼玉県,越谷市,あり（まちの整備条例に統合）,要確認,https://www.city.koshigaya.saitama.jp/kurashi_shisei/kurashi/sumai/machidukuri/matinoseibijourei.html,あり,中高層建築物:高さ10m超または延床1000㎡以上,https://www.city.koshigaya.saitama.jp/kurashi_shisei/kurashi/sumai/machidukuri/matinoseibijourei.html,あり,要確認,附置義務あり,あり,https://www.city.koshigaya.saitama.jp/kurashi_shisei/kurashi/sumai/machidukuri/matinoseibijourei.html,越谷市公式サイト・条例確認,VERIFIED,2025-12-23,まちの整備に関する条例で一体管理
埼玉県,熊谷市,,,,,,,,,,,,,TO_COLLECT,,
埼玉県,春日部市,,,,,,,,,,,,,TO_COLLECT,,
埼玉県,上尾市,,,,,,,,,,,,,TO_COLLECT,,
埼玉県,戸田市,,,,,,,,,,,,,TO_COLLECT,,
埼玉県,蕨市,,,,,,,,,,,,,TO_COLLECT,,
埼玉県,朝霞市,,,,,,,,,,,,,TO_COLLECT,,
埼玉県,和光市,,,,,,,,,,,,,TO_COLLECT,,
埼玉県,新座市,,,,,,,,,,,,,TO_COLLECT,,
埼玉県,久喜市,,,,,,,,,,,,,TO_COLLECT,,
